lr,la,rho*,T*,rho*_sim,T*_sim,P*_sim,TotEn_sim,thermal_conductivity,T*_sim_std,P*_sim_std,TotEn_sim_std,thermal_conductivity_std,is_fluid,is_solid,is_stable
7.0,6.0,0.06,7.05,0.06,7.050952089655173,0.4294647886206896,10.114636620689652,2.6308251827413383,0.0040177819283226,0.0010419238781501,5.1640499676368824e-05,0.0740857727610703,True,False,True
7.0,6.0,0.064069,1.68,0.064069,1.679923668965517,0.0795227678620689,1.768782548275862,1.014913062531213,0.0058653926756116,0.0005302022232104,9.245654422660911e-05,0.0108502964764765,True,False,False
7.0,6.0,0.072752,1.84,0.072752,1.8399731827586208,0.1001251594827586,1.9405378413793104,0.956366921407138,0.0056889611318126,0.0006437180013378,9.293365022465336e-05,0.0026274841449885,True,False,False
7.0,6.0,0.08,1.65,0.08,1.6501126344827586,0.0880363293103448,1.5230720827586206,0.8334652763397662,0.0073135616083139,0.0007647084593302,0.0001304848338786,0.0291965432007403,True,False,False
7.0,6.0,0.083071,2.04,0.083071,2.0399482689655173,0.1291448824137931,2.1620353,1.0105055869977515,0.0055087592801424,0.0008132652388412,8.82410989777986e-05,0.1012327296469477,True,False,False
7.0,6.0,0.083071,2.12,0.083071,2.1198788551724137,0.1369940227586207,2.293430779310345,1.0886084521452972,0.0055415172456322,0.0008327156085679,8.834541080567486e-05,0.0377336087578841,True,False,False
7.0,6.0,0.1,1.7,0.1,1.7004799651542648,0.1037477744156079,1.37192459292196,0.9404852372051956,0.0085137437215385,0.0011526640461102,0.0001856856553808,0.0781092863405172,True,False,False
7.0,6.0,0.1,1.84,0.1,1.840121548275862,0.1216853275862069,1.633233227586207,1.0951904483304546,0.0073344619124209,0.0011052726617024,0.0001414403678059,0.0293542046152562,True,False,False
7.0,6.0,0.1,1.9,0.1,1.8996622868534483,0.1291682870474137,1.7392972913793106,1.0055905861076502,0.0069347511667534,0.0011262412629682,0.0001309287799133,0.1968309834810767,True,False,False
7.0,6.0,0.1,2.0,0.1,2.0002438607758624,0.1416751649999999,1.913877676724138,1.1289926920019293,0.0065368370428231,0.0011424254823647,0.0001173387798325,0.0950066317883397,True,False,False
7.0,6.0,0.1,2.4,0.1,2.4001159482758623,0.1901084317241379,2.5780266482758623,1.134413649890547,0.0055366868218433,0.0011641544457103,8.973384669662387e-05,0.0897527715619187,True,False,True
7.0,6.0,0.1,2.8,0.1,2.800399396896552,0.2377541853103447,3.221164414137931,1.3350474614846803,0.0048889561222524,0.0012826701016221,7.520077411314204e-05,0.1340430450131585,True,False,True
7.0,6.0,0.1,4.6,0.1,4.600027284326019,0.4471792304702194,6.035157689655173,1.9903117677864044,0.0044099047518832,0.0016594921165666,5.64632830052404e-05,0.3141558209619043,True,False,True
7.0,6.0,0.1,6.0,0.1,6.000044400313479,0.6074291156739812,8.19748987617555,2.3262196934276393,0.0046141676727479,0.0020026470448384,4.982639335514353e-05,0.1613165483586924,True,False,True
7.0,6.0,0.1,10.0,0.1,9.999380584350131,1.0585729953580902,14.34281050397878,2.8241151729124025,0.0063220882236009,0.002844418252467,0.0001179074662505,0.3298558824832151,True,False,True
7.0,6.0,0.101221,1.81,0.101221,1.808517151724138,0.1184543503448275,1.5623506137931036,0.95425297266845,0.0076243189116303,0.0011466836044599,0.00015483103148,0.0672706376987321,True,False,False
7.0,6.0,0.102451,1.92,0.102451,1.919972855172414,0.1335985706896551,1.7479641620689654,0.9561450573485256,0.0068910705742719,0.0011721751630197,0.0001332009194238,0.0400480869501742,True,False,False
7.0,6.0,0.11,1.97,0.11,1.9705788551724135,0.1460295720689655,1.754675479310345,1.0700430216187018,0.0069715044355024,0.0013150371467986,0.0001351365792559,0.051305838938958,True,False,False
7.0,6.0,0.11,2.19,0.11,2.190588851724138,0.1761036427586206,2.1309863655172414,1.100300482984499,0.0061774369197616,0.0013381802559233,0.0001093195936712,0.0771617388680417,True,False,False
