ms,lr,la,T*,P*,rhol*,rhov*,Tr,Pr,Tc*,Pc*,rhoc*
1.0,19.0,6.0,0.8599409750999999,0.03305348609015,0.6869599117241377,0.0493931679666666,0.8417193161495009,0.3399306045451601,1.0216481416083631,0.0972359818392251,0.3297269312279778
1.0,19.0,6.0,0.8800137071999999,0.038595925081,0.6685402500000001,0.05787511125,0.8613667185011559,0.3969304814015912,1.0216481416083631,0.0972359818392251,0.3297269312279778
1.0,19.0,6.0,0.9100284655,0.047886697788,0.6381775131034483,0.0737334163333333,0.8907454811862701,0.4924791921901739,1.0216481416083631,0.0972359818392251,0.3297269312279778
1.0,19.0,6.0,0.9200504106,0.051457167493,0.6278280553571428,0.0796126399629629,0.9005550669838056,0.5291988266039406,1.0216481416083631,0.0972359818392251,0.3297269312279778
1.0,19.0,6.0,0.9499642367,0.0630463441,0.5890521585714285,0.1058676940357142,0.9298350361646892,0.6483849178819834,1.0216481416083631,0.0972359818392251,0.3297269312279778
1.0,19.0,6.0,0.9599226296,0.06748656727,0.5787419116666667,0.11468421956,0.9395824163971074,0.694049322004952,1.0216481416083631,0.0972359818392251,0.3297269312279778
1.0,19.0,6.0,1.0000006,0.08652506759,0.504258188,0.17413686625,0.978811157455556,0.8898461860863907,1.0216481416083631,0.0972359818392251,0.3297269312279778
1.0,19.0,6.0,1.0216481416083631,0.0972359818392251,0.3297269312279778,0.3297269312279778,1.0,1.0,1.0216481416083631,0.0972359818392251,0.3297269312279778
1.0,20.0,6.0,0.6399703965000001,0.003526446940249,0.8416508054838708,0.0058605894117647,0.6371606734331459,0.0363690056112007,1.004409755943842,0.0969629738560391,0.3284994422748541
1.0,20.0,6.0,0.6600442189,0.004572977743385,0.8283759354838708,0.0076895844117647,0.6571463638161873,0.0471621028267398,1.004409755943842,0.0969629738560391,0.3284994422748541
1.0,20.0,6.0,0.6799976179999999,0.006261686898835,0.8157732459375,0.0097662826470588,0.6770121596051278,0.0645781234817707,1.004409755943842,0.0969629738560391,0.3284994422748541
1.0,20.0,6.0,0.6999636079,0.0079371693755445,0.8022277053333332,0.012159834434375,0.6968904909154785,0.0818577345547261,1.004409755943842,0.0969629738560391,0.3284994422748541
1.0,20.0,6.0,0.7299949153999999,0.0109555906343369,0.7813650457575758,0.0166626883484848,0.7267899491020227,0.1129873620687692,1.004409755943842,0.0969629738560391,0.3284994422748541
1.0,20.0,6.0,0.7400430651793526,0.0124933737631014,0.7746546239669421,0.0194284594628099,0.7367939835310893,0.1288468501559194,1.004409755943842,0.0969629738560391,0.3284994422748541
1.0,20.0,6.0,0.7700397398,0.016724480469342,0.7521789955172413,0.0251449704999999,0.7666589608903142,0.1724831634616821,1.004409755943842,0.0969629738560391,0.3284994422748541
1.0,20.0,6.0,0.7799731864,0.018621980867463,0.7439044618749999,0.0280969374242424,0.7765487957323359,0.1920524931002121,1.004409755943842,0.0969629738560391,0.3284994422748541
1.0,20.0,6.0,0.810005262,0.024256932706996,0.7202354561764706,0.0366160561212121,0.8064490186466174,0.2501669631442024,1.004409755943842,0.0969629738560391,0.3284994422748541
